name,domination_number,total_domination_number,connected_domination_number,independence_number,power_domination_number,zero_forcing_number,total_zero_forcing_number,diameter,radius,order,size,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,randic_index,harmonic_index,sum_connectivity_index,min_degree,max_degree,clique_number,residue,annihilation_number,sub_total_domination_number,slater,k_slater_index,vertex_cover_number,k_residual_index,(order - domination_number),(order - total_domination_number),(order - connected_domination_number),(order - power_domination_number),(order - zero_forcing_number),(order - triameter),(order - diameter),(order - radius),(size - triameter),(size - diameter),(size - radius),(order - independent_domination_number),(order - chromatic_number),(order - matching_number),(order - min_maximal_matching_number),(size - matching_number),(size - min_maximal_matching_number),(order - min_degree),(order - max_degree),(order - clique_number),(order - residue),(order - annihilation_number),(order - sub_total_domination_number),(order - slater),(order - k_slater_index),(order - k_residual_index),order_number_of_divisors,order_sum_of_divisors,order_euler_totient,order_sum_of_proper_divisors,order_number_of_prime_factors,order_number_of_distinct_prime_factors,independence_number_of_divisors,independence_sum_of_divisors,independence_euler_totient,independence_sum_of_proper_divisors,independence_number_of_prime_factors,independence_number_of_distinct_prime_factors,matching_number_of_divisors,matching_sum_of_divisors,matching_euler_totient,matching_sum_of_proper_divisors,matching_number_of_prime_factors,matching_number_of_distinct_prime_factors,zero_forcing_number_of_divisors,zero_forcing_sum_of_divisors,zero_forcing_euler_totient,zero_forcing_sum_of_proper_divisors,zero_forcing_number_of_prime_factors,zero_forcing_number_of_distinct_prime_factors,domination_number_of_divisors,domination_sum_of_divisors,domination_euler_totient,domination_sum_of_proper_divisors,domination_number_of_prime_factors,domination_number_of_distinct_prime_factors,min_edge_cover,[(annihilation_number + residue)/ max_degree],[order/ max_degree],[order/ (max_degree + 1)],[order/ (max_degree - 1)],[order/ (max_degree + 2)],(residue + annihilation_number),a connected graph,a connected and bipartite graph,an eulerian graph,a connected and planar graph,a connected and regular graph,a connected and cubic graph,a connected graph which is not K_n,a connected and triangle-free graph,a connected and at-free graph,a tree graph,a connected and chordal graph,a connected and claw-free graph,a connected graph with maximum degree at most 3,a connected graph which is not K_n and has maximum degree at most 3,"a connected, claw-free, and cubic graph","a connected, planar, and cubic graph",a connected and cubic graph which is not K_4,a connected graph with a prime number of vertices,a connected graph with a prime number of edges,a connected graph with a prime independence number,a connected graph with a prime diameter,a connected graph with a prime zero forcing number,a connected graph with a prime total domination number,a connected graph with a prime domination number,a connected graph with a prime residue,a connected graph with a prime matching number,a connected and well-covered graph,a connected graph with diameter at most 3,a connected and planar graph with diameter at most 3,a connected graph with a total domination number equal to the domination number,a connected graph with mobious(d_1) + ... + mobious(d_n) > 0,a connected graph with mobious(d_1) + ... + mobious(d_n) = 0,a connected graph with mobious(d_1) + ... + mobious(d_n) < 0,a connected graph with mobious(order) < 0,a connected graph with mobious(order) > 0,a connected graph with mobious(order) = 0
MathematicaGraph7564.txt,3,4,4,5,2,3,5,5,3,8,7,3,2,3,2,12,3.663902460147014,3.3666666666666667,3.4189910556895,1,3,2,4,5,3,2,2,3,2,5,4,4,6,5,-4,3,5,-5,2,4,5,6,5,6,4,5,7,5,6,4,3,5,6,6,6,4,15,4,7,1,1,2,6,4,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,5,3.0,2.6666666666666665,2.0,4.0,1.6,9,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True
MathematicaGraph7570.txt,2,2,2,6,1,5,6,3,2,8,7,2,2,2,1,8,3.0370233681006757,2.345238095238095,2.8207260248290353,1,6,2,6,6,2,2,1,2,1,6,6,6,7,3,0,5,6,-1,4,5,6,6,6,7,5,6,7,2,6,2,2,6,6,7,7,4,15,4,7,1,1,4,12,2,6,2,2,2,3,1,1,1,1,2,6,4,1,1,1,2,3,1,1,1,1,6,2.0,1.3333333333333333,1.1428571428571428,1.6,1.0,12,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True
MathematicaGraph7558.txt,2,4,4,5,1,3,4,5,3,8,7,2,2,3,2,12,3.560660171779821,3.2,3.3272393461533625,1,4,2,4,5,3,2,1,3,2,6,4,4,7,5,-4,3,5,-5,2,4,6,6,5,6,4,5,7,4,6,4,3,5,6,7,6,4,15,4,7,1,1,2,6,4,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,2,3,1,1,1,1,5,2.25,2.0,1.6,2.6666666666666665,1.3333333333333333,9,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True
Gadget3.txt,4,6,7,7,3,8,8,6,3,16,24,4,3,7,6,18,8.0,8.0,9.797958971132713,3,3,3,4,8,6,4,1,9,3,12,10,9,13,8,-2,10,13,6,18,21,12,13,9,10,17,18,13,13,13,12,8,10,12,15,13,5,31,8,15,1,1,2,8,6,1,1,1,2,8,6,1,1,1,4,15,4,7,1,1,3,7,2,3,1,1,9,4.0,5.333333333333333,4.0,8.0,3.2,12,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
G41.txt,3,5,5,5,1,3,3,4,3,11,14,3,3,5,3,9,5.432652990377571,5.366666666666667,6.118950216318979,2,3,2,4,6,4,3,1,6,2,8,6,6,10,8,2,7,8,5,10,11,8,8,6,8,9,11,9,8,9,7,5,7,8,10,9,2,12,10,1,1,1,2,6,4,1,1,1,2,6,4,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,6,3.3333333333333335,3.6666666666666665,2.75,5.5,2.2,10,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False
MathematicaGraph7612.txt,3,3,3,6,2,4,6,4,2,9,8,3,2,3,2,10,3.8540592754970238,3.3190476190476192,3.627853549972964,1,4,2,5,6,3,2,2,3,2,6,6,6,7,5,-1,5,7,-2,4,6,6,7,6,7,5,6,8,5,7,4,3,6,7,7,7,3,13,6,4,1,1,4,12,2,6,2,2,2,4,2,1,1,1,3,7,2,3,1,1,2,4,2,1,1,1,6,2.75,2.25,1.8,3.0,1.5,11,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True
MathematicaGraph7606.txt,4,4,4,5,1,4,5,4,2,9,8,4,2,4,3,12,3.964430832610072,3.5238095238095237,3.6824408075242854,1,5,2,5,6,3,2,2,4,1,5,5,5,8,5,-3,5,7,-4,4,6,5,7,5,6,4,5,8,4,7,4,3,6,7,7,8,3,13,6,4,1,1,2,6,4,1,1,1,3,7,2,3,1,1,3,7,2,3,1,1,3,7,2,3,1,1,5,2.2,1.8,1.5,2.25,1.2857142857142858,11,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True
cubic70.txt,3,4,5,5,2,4,4,4,3,12,18,3,3,6,4,9,6.0,6.0,7.348469228349535,3,3,3,3,6,4,3,1,7,3,9,8,7,10,8,3,8,9,9,14,15,9,9,6,8,12,14,9,9,9,9,6,8,9,11,9,6,28,4,16,2,2,2,6,4,1,1,1,4,12,2,6,2,2,3,7,2,3,1,1,2,4,2,1,1,1,6,3.0,4.0,3.0,6.0,2.4,9,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
cubic64.txt,4,4,5,5,2,4,4,4,3,12,18,4,3,6,4,9,6.0,6.0,7.348469228349535,3,3,3,3,6,4,3,2,7,3,8,8,7,10,8,3,8,9,9,14,15,8,9,6,8,12,14,9,9,9,9,6,8,9,10,9,6,28,4,16,2,2,2,6,4,1,1,1,4,12,2,6,2,2,3,7,2,3,1,1,3,7,2,3,1,1,6,3.0,4.0,3.0,6.0,2.4,9,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
MathematicaGraph7389.txt,1,2,1,4,1,3,4,2,1,5,4,1,2,1,1,6,2.0,1.6,1.7888543819998317,1,4,2,4,4,2,1,1,1,1,4,3,4,4,2,-1,3,4,-2,2,3,4,3,4,4,3,3,4,1,3,1,1,3,4,4,4,2,6,4,1,1,1,3,7,2,3,1,1,1,1,1,0,0,0,2,4,2,1,1,1,1,1,1,0,0,0,4,2.0,1.25,1.0,1.6666666666666667,0.8333333333333334,8,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False
